Student_ID,Age,Gender,Year_of_Study,Department,Residence_Type,Attendance_Percent,Study_Hours_Per_Day,Previous_GPA,Backlogs,Sleep_Hours,Screen_Time_Hours,Exercise_Freq_Per_Week,Social_Activity_Score,Part_Time_Job,Family_Income_Bracket,Financial_Stress_Score,Family_Support_Score,Stress_Level,Anxiety_Score,Motivation_Score,Peer_Pressure_Score,Counseling_Access,Burnout_Level,Dropout_Risk
STU00001,23,Female,2,Science,Hostel,93.0,4.1,7.13,2.0,6.2,4.9,2,6.5,Yes,Upper-Middle,5.5,10.0,4.0,,7.0,,No,Low,No
STU00002,20,Female,4,Engineering,Day Scholar,94.3,0.0,10.0,0.0,,,1,4.1,Yes,Low,3.7,4.0,5.5,5.1,9.3,2.8,Yes,Medium,Yes
STU00003,24,Male,2,Business,PG/Rented,61.2,2.6,8.02,0.0,4.2,3.8,2,5.8,No,Middle,4.8,8.1,9.0,5.2,5.7,5.4,No,High,Yes
STU00004,21,Female,4,Medicine,Hostel,66.9,3.1,5.34,1.0,5.7,5.9,2,4.1,Yes,Lower-Middle,7.0,6.6,2.8,4.2,5.1,3.9,No,High,Yes
STU00005,23,Female,1,Engineering,,84.8,2.9,4.45,1.0,8.0,5.0,2,3.3,No,Lower-Middle,1.3,7.3,0.9,6.4,8.1,5.1,No,Low,No
STU00006,19,Male,4,Business,Hostel,72.5,,,0.0,4.9,5.7,1,5.4,No,Middle,2.0,6.9,6.6,6.7,,4.2,No,Medium,No
STU00007,23,Female,3,Science,Hostel,,1.6,8.0,0.0,5.4,5.2,3,2.7,No,Middle,6.3,5.0,7.6,5.5,5.6,5.2,Yes,High,Yes
STU00008,24,Other,2,Medicine,Hostel,97.3,7.0,7.61,0.0,6.5,4.7,6,8.8,No,Lower-Middle,5.1,,1.3,5.2,10.0,5.4,No,Low,No
STU00009,21,Male,1,Science,Hostel,73.3,2.6,5.66,0.0,3.7,6.1,1,2.1,No,Middle,4.8,6.5,4.9,7.7,6.5,0.6,No,Medium,Yes
STU00010,20,Male,2,Engineering,PG/Rented,63.5,7.0,7.31,1.0,6.6,7.2,4,5.6,Yes,Lower-Middle,7.2,4.8,3.5,2.6,7.1,3.6,No,Medium,Yes
STU00011,24,Female,1,Science,Hostel,65.5,1.4,5.79,1.0,,4.3,1,5.3,Yes,Upper-Middle,6.6,5.7,6.1,4.3,4.8,5.2,No,High,Yes
STU00012,24,Female,1,Business,Day Scholar,100.0,4.3,7.73,0.0,7.1,6.4,2,5.1,No,Lower-Middle,8.9,8.3,5.4,7.2,6.7,6.1,No,Medium,Yes
STU00013,19,Male,3,Science,Hostel,75.3,3.6,8.18,1.0,5.0,,0,8.0,Yes,Lower-Middle,7.1,,8.1,6.2,8.1,3.8,Yes,Medium,Yes
STU00014,22,Female,2,Law,Day Scholar,57.5,1.7,6.04,0.0,4.8,2.7,3,0.0,Yes,Upper-Middle,6.2,6.1,2.8,4.5,2.3,0.8,No,High,Yes
STU00015,21,Female,3,Science,Day Scholar,51.5,,8.38,1.0,6.6,7.6,1,,No,Low,4.9,8.8,6.3,5.9,5.3,7.0,Yes,High,Yes
STU00016,18,Female,4,Medicine,Hostel,68.6,3.2,6.96,2.0,7.4,10.0,1,4.5,No,Lower-Middle,4.7,5.4,6.7,3.8,6.2,6.2,No,High,Yes
STU00017,24,Female,2,Engineering,Hostel,75.1,1.8,7.49,,6.8,5.3,1,6.2,No,Lower-Middle,5.0,9.7,5.6,5.4,5.4,4.7,No,Low,Yes
STU00018,22,,3,Science,PG/Rented,92.2,,4.97,1.0,6.5,5.1,1,5.1,Yes,Upper-Middle,5.5,3.1,1.5,6.5,4.5,3.6,Yes,Low,No
STU00019,18,Male,1,Science,Hostel,90.8,0.0,7.13,1.0,6.5,5.0,0,4.8,No,High,2.2,10.0,6.3,7.8,8.4,,No,Low,No
STU00020,21,Male,3,Engineering,Day Scholar,77.9,4.3,5.85,1.0,6.8,6.9,3,2.6,No,Upper-Middle,5.6,6.5,4.0,6.5,5.9,3.6,Yes,Low,No
STU00021,17,Female,2,Medicine,Hostel,71.2,,7.46,1.0,6.9,6.6,0,3.7,Yes,Middle,4.4,3.6,2.0,8.0,4.0,6.3,Yes,Medium,No
STU00022,22,Female,4,Engineering,PG/Rented,83.1,3.9,8.85,0.0,5.6,2.0,0,10.0,Yes,Middle,5.8,8.3,6.2,1.8,7.6,8.1,No,Low,Yes
STU00023,25,Male,4,Science,Hostel,51.8,6.8,7.21,1.0,7.2,3.6,4,6.2,No,Middle,3.7,7.4,7.0,0.1,8.4,3.5,No,Low,No
STU00024,17,Female,2,,Day Scholar,100.0,4.3,,0.0,5.0,6.6,3,,No,Lower-Middle,3.5,9.5,4.3,0.2,7.9,,Yes,Low,No
STU00025,19,Female,1,Science,,87.8,5.0,7.68,1.0,7.8,,3,4.3,No,High,5.5,3.1,7.2,7.5,4.6,3.2,No,Medium,Yes
STU00026,23,Male,4,Engineering,PG/Rented,91.0,5.2,7.36,1.0,7.4,2.9,1,3.3,Yes,Low,6.1,4.1,7.2,6.3,4.7,6.6,No,High,Yes
STU00027,20,Female,3,Arts,Hostel,61.9,0.0,9.68,0.0,9.5,8.8,1,6.6,No,Lower-Middle,3.6,8.2,5.5,3.4,3.3,,Yes,Low,No
STU00028,25,Female,1,Arts,PG/Rented,97.2,3.9,7.16,0.0,7.0,3.7,3,1.2,No,Upper-Middle,8.0,10.0,6.7,4.2,6.0,7.4,No,Low,No
STU00029,19,Female,1,Medicine,Day Scholar,71.1,1.0,5.98,1.0,7.6,5.6,0,3.7,Yes,Upper-Middle,8.0,7.8,7.5,5.7,7.8,3.9,No,High,Yes
STU00030,21,Female,3,Business,Hostel,63.7,1.3,,0.0,3.9,5.1,3,4.3,Yes,Low,1.4,8.1,6.6,3.4,6.7,2.7,No,Medium,Yes
STU00031,19,Male,1,Business,PG/Rented,77.4,1.6,6.62,0.0,7.6,3.1,3,6.9,No,Low,3.2,4.8,0.9,3.2,9.2,3.8,Yes,Low,No
STU00032,23,Female,4,Science,Hostel,77.1,2.7,6.91,1.0,8.0,5.9,2,5.8,,Middle,5.3,6.1,0.5,3.6,1.4,4.1,Yes,Low,No
STU00033,21,Male,2,Business,PG/Rented,61.8,4.2,5.5,1.0,8.5,6.4,1,4.1,No,Middle,5.9,5.1,7.6,3.4,5.8,5.0,Yes,Medium,No
STU00034,25,Male,1,Arts,PG/Rented,64.6,3.9,6.63,1.0,6.4,4.5,4,5.7,No,Middle,9.9,7.6,4.1,5.1,7.2,3.8,Yes,Low,Yes
STU00035,23,Female,4,Arts,PG/Rented,63.4,3.2,6.84,2.0,5.7,4.8,2,4.4,No,Lower-Middle,5.3,8.5,4.5,8.7,4.2,5.0,No,High,Yes
STU00036,18,Male,2,Medicine,Hostel,63.5,4.4,6.62,0.0,4.6,6.8,3,7.1,No,High,4.7,6.9,9.3,2.8,3.1,5.0,Yes,Medium,Yes
STU00037,20,Male,2,Arts,PG/Rented,72.2,4.5,5.97,2.0,4.7,1.2,2,5.5,No,Lower-Middle,2.4,8.2,4.0,4.8,3.0,3.6,Yes,Low,Yes
STU00038,25,Female,1,Arts,Day Scholar,57.2,3.9,7.2,0.0,6.2,3.6,3,8.5,Yes,,1.4,6.4,5.2,6.0,5.7,,No,Medium,Yes
STU00039,18,Male,1,Engineering,PG/Rented,67.6,0.4,5.51,1.0,3.6,,0,4.4,No,Middle,4.7,9.4,5.5,6.2,2.9,3.3,No,High,Yes
STU00040,25,Male,3,Engineering,Day Scholar,93.7,2.0,5.18,1.0,5.0,,5,7.5,No,Lower-Middle,9.7,4.6,5.1,3.9,8.6,8.5,Yes,Low,No
STU00041,21,Female,2,Engineering,PG/Rented,90.3,3.2,7.79,3.0,6.3,4.3,3,5.2,Yes,Lower-Middle,4.5,9.6,,6.4,6.6,5.1,No,Medium,Yes
STU00042,18,Female,3,Engineering,Day Scholar,,4.4,,1.0,6.3,7.5,2,3.6,No,High,3.2,4.9,4.8,5.9,5.1,,Yes,Low,No
STU00043,20,Male,3,Arts,Day Scholar,92.4,1.1,4.97,1.0,4.7,4.1,4,10.0,Yes,Upper-Middle,6.0,6.5,6.9,4.0,5.3,4.1,No,Medium,No
STU00044,23,Female,3,Science,Hostel,48.5,3.2,4.24,0.0,4.3,9.9,1,7.6,No,Lower-Middle,0.4,3.9,5.6,,7.8,3.1,Yes,Medium,Yes
STU00045,24,,1,Arts,PG/Rented,100.0,0.7,5.39,1.0,4.6,1.6,2,5.5,No,Upper-Middle,5.2,7.6,7.4,2.5,8.3,6.2,No,Low,No
STU00046,19,Female,2,Science,Day Scholar,97.5,4.8,6.62,2.0,5.9,0.6,1,6.5,No,Lower-Middle,6.9,6.8,2.8,6.6,3.5,5.2,No,Low,No
STU00047,17,Female,4,Law,Day Scholar,69.6,3.6,8.42,0.0,9.4,7.4,2,2.8,No,Middle,2.8,8.1,1.0,8.1,4.0,0.0,Yes,Low,No
STU00048,20,Other,3,Science,PG/Rented,83.7,,6.59,0.0,7.8,3.3,0,2.9,No,Low,8.1,2.7,5.6,5.0,4.7,8.4,No,High,Yes
STU00049,18,Female,2,,Day Scholar,57.0,1.0,5.72,1.0,6.5,3.4,1,7.2,Yes,Upper-Middle,6.5,6.8,3.8,8.1,4.2,6.0,No,High,No
STU00050,24,Female,1,Arts,Hostel,,3.8,7.01,1.0,7.0,7.7,2,5.0,Yes,Low,8.2,7.4,8.4,4.9,1.7,3.7,No,High,Yes
STU00051,20,Female,2,Business,Day Scholar,75.2,5.4,6.64,1.0,7.7,4.4,2,4.7,No,Middle,1.8,4.3,5.3,2.5,3.8,5.7,No,Low,No
STU00052,18,Male,3,Engineering,Day Scholar,65.5,1.4,4.87,1.0,7.2,7.5,2,4.4,Yes,Upper-Middle,4.6,7.7,5.9,4.5,4.0,5.3,No,High,Yes
STU00053,22,Male,4,Business,Day Scholar,71.0,4.5,4.87,0.0,5.7,4.2,3,5.3,No,Low,7.1,1.4,,8.3,3.0,5.5,No,High,Yes
STU00054,22,Female,3,Medicine,Hostel,69.5,2.3,4.91,1.0,4.9,6.3,1,4.5,No,Middle,1.6,6.2,4.2,3.7,6.4,2.8,No,Medium,Yes
STU00055,20,Female,4,Science,Hostel,61.0,4.5,10.0,0.0,6.0,4.4,2,0.9,Yes,Low,7.2,9.6,5.6,4.7,5.2,4.6,No,High,No
STU00056,22,Female,3,Engineering,,65.1,4.3,8.0,0.0,7.7,3.5,1,7.8,No,Middle,4.6,6.2,,7.6,6.8,5.1,No,Medium,Yes
STU00057,18,Male,1,Business,Day Scholar,56.4,3.4,5.97,1.0,5.8,9.3,3,4.8,No,Lower-Middle,7.2,4.9,4.9,7.5,3.4,7.0,No,High,Yes
STU00058,18,Female,2,Science,Hostel,90.9,0.3,8.35,0.0,4.5,8.0,1,8.7,No,Middle,5.5,6.4,4.7,5.7,6.8,4.7,No,Medium,No
STU00059,20,Male,1,Engineering,Day Scholar,64.0,4.3,6.0,0.0,3.6,3.9,1,1.5,No,High,8.2,6.7,7.1,6.2,5.8,5.4,No,Medium,No
STU00060,24,Male,1,Business,PG/Rented,59.7,4.0,8.31,0.0,6.0,5.1,2,1.5,Yes,Lower-Middle,2.0,8.5,2.1,7.3,4.3,2.7,No,Medium,No
STU00061,23,Female,4,Medicine,Hostel,90.6,3.9,6.91,2.0,4.7,8.7,1,4.4,No,Low,5.8,6.8,7.9,5.7,8.9,4.6,Yes,Medium,Yes
STU00062,25,Female,2,Business,Day Scholar,83.5,3.5,5.88,0.0,5.5,3.3,4,7.0,Yes,Middle,1.5,8.2,3.9,7.8,,6.2,No,Low,Yes
STU00063,24,Female,2,Engineering,PG/Rented,90.1,1.8,7.75,1.0,8.4,3.4,1,2.6,Yes,Upper-Middle,6.0,6.7,7.4,6.5,4.4,3.1,No,Medium,No
STU00064,21,Female,1,Arts,PG/Rented,91.7,4.9,6.99,1.0,6.1,6.5,1,2.5,No,High,5.8,4.9,6.1,4.7,6.1,3.7,No,Medium,No
STU00065,18,,2,Medicine,Day Scholar,100.0,4.6,7.36,3.0,5.1,,1,5.7,Yes,Lower-Middle,4.3,3.4,1.3,6.0,3.5,,No,Medium,Yes
STU00066,21,Female,1,Arts,Day Scholar,75.7,1.5,,0.0,6.7,,1,4.4,No,Lower-Middle,3.2,7.3,5.5,4.2,5.1,1.8,No,Medium,Yes
STU00067,24,Male,1,Engineering,PG/Rented,56.1,5.3,7.09,0.0,9.1,7.8,2,,No,Upper-Middle,4.3,1.1,8.1,2.9,9.8,2.8,Yes,Low,No
STU00068,25,Female,3,,Day Scholar,82.1,3.4,7.92,1.0,6.0,3.3,3,4.4,No,Upper-Middle,5.2,2.6,4.9,2.5,1.8,5.6,No,Low,No
STU00069,25,Female,1,Business,PG/Rented,68.0,3.4,10.0,0.0,2.7,6.3,3,5.8,No,Middle,5.7,3.4,5.1,4.5,4.4,4.0,No,Medium,Yes
STU00070,17,Female,3,Arts,Hostel,63.6,2.9,8.55,1.0,7.2,4.7,4,7.7,Yes,Lower-Middle,9.4,,4.0,5.7,5.2,2.8,Yes,Medium,No
STU00071,25,Female,1,Science,PG/Rented,79.5,3.1,7.11,,6.7,9.6,3,2.6,No,Lower-Middle,7.0,3.2,7.9,9.0,4.7,8.9,No,High,Yes
STU00072,23,Female,1,Engineering,Day Scholar,91.0,5.4,6.37,0.0,6.3,9.0,0,7.4,Yes,Low,,7.5,4.6,5.9,4.4,3.1,No,Low,Yes
STU00073,25,Female,1,Medicine,Day Scholar,65.5,4.9,6.52,2.0,5.9,10.5,1,1.6,No,High,6.3,4.2,9.1,5.4,9.1,5.7,No,High,Yes
STU00074,24,Male,3,Engineering,Hostel,97.1,4.8,5.04,1.0,5.0,4.0,1,,Yes,Lower-Middle,7.0,6.2,7.8,4.8,4.3,5.2,No,High,Yes
STU00075,17,,3,Business,Day Scholar,63.2,3.5,7.73,0.0,8.5,5.6,1,7.8,Yes,Middle,3.5,6.4,8.2,4.2,6.3,5.0,No,Medium,No
STU00076,24,Male,2,Engineering,Hostel,74.3,4.6,5.38,0.0,3.4,6.3,3,4.0,No,Middle,6.6,6.1,5.7,5.3,4.2,0.8,Yes,Low,Yes
STU00077,24,Male,2,Business,PG/Rented,,1.9,6.28,2.0,5.7,4.1,3,6.3,No,Lower-Middle,1.6,5.1,4.5,4.4,6.3,7.0,No,Low,No
STU00078,19,Female,3,Arts,PG/Rented,72.2,4.1,7.74,1.0,5.7,5.8,3,4.0,No,Lower-Middle,3.4,3.1,6.5,4.3,7.5,5.1,Yes,Low,Yes
STU00079,17,Female,1,Arts,Hostel,51.4,3.0,6.47,2.0,7.5,7.5,2,6.2,No,Middle,1.7,6.6,8.6,6.8,5.3,6.3,No,High,Yes
STU00080,24,Male,2,Engineering,PG/Rented,91.9,0.0,6.11,0.0,8.1,4.3,2,0.5,No,Lower-Middle,4.5,7.7,,3.0,4.3,6.8,Yes,Medium,No
STU00081,19,Male,4,,PG/Rented,68.6,0.7,5.12,1.0,5.9,4.0,3,5.3,No,Lower-Middle,3.9,8.0,1.8,4.5,5.2,7.9,Yes,Medium,Yes
STU00082,19,Male,3,Engineering,Day Scholar,89.2,2.1,8.49,2.0,6.5,3.8,1,5.8,No,Lower-Middle,4.1,6.7,10.0,3.5,6.6,2.5,No,Medium,No
STU00083,17,Female,2,Science,Hostel,59.0,3.9,5.63,0.0,6.6,2.5,3,7.7,Yes,Upper-Middle,6.9,7.1,6.0,5.3,7.3,3.1,Yes,Low,Yes
STU00084,21,Female,4,Law,Hostel,61.6,2.1,5.98,0.0,,7.4,2,6.9,No,High,5.2,4.8,7.1,6.9,6.0,3.3,No,High,Yes
STU00085,23,Male,3,Business,Hostel,90.9,2.3,4.29,1.0,7.7,3.9,5,4.7,No,Middle,6.8,7.5,3.7,5.8,5.3,2.8,Yes,Low,No
STU00086,25,Female,1,Arts,Hostel,83.1,4.4,6.77,1.0,5.4,3.7,2,5.5,Yes,Upper-Middle,8.7,7.4,3.6,4.5,8.2,7.1,Yes,Low,No
STU00087,23,Female,3,Business,PG/Rented,71.4,2.3,6.33,0.0,6.9,6.7,2,2.1,Yes,Middle,9.8,5.8,2.6,7.1,4.2,,Yes,High,No
STU00088,25,Male,3,Engineering,Hostel,83.3,5.3,7.05,0.0,6.8,5.5,1,8.3,Yes,Middle,4.7,6.6,8.9,6.9,4.6,3.7,No,Medium,Yes
STU00089,24,Female,2,Business,PG/Rented,63.7,5.1,5.16,1.0,6.0,4.3,2,6.4,No,High,6.2,6.4,4.1,5.1,9.3,1.2,Yes,Low,No
STU00090,18,Female,2,Science,Hostel,79.7,3.2,7.83,1.0,6.8,7.3,4,1.3,No,Middle,4.6,7.5,5.3,8.5,5.3,6.0,Yes,Medium,No
STU00091,17,Male,2,Arts,Day Scholar,79.9,4.4,4.23,2.0,6.2,4.3,1,5.5,No,Low,7.3,3.1,4.9,5.9,6.9,4.2,No,High,No
STU00092,23,Male,3,Engineering,PG/Rented,72.4,4.2,6.67,1.0,6.4,0.7,1,,No,High,6.9,3.1,3.5,5.9,3.6,6.3,Yes,Low,No
STU00093,23,Male,2,Medicine,PG/Rented,65.5,2.8,6.96,1.0,4.2,8.4,1,3.5,No,Upper-Middle,3.5,3.2,5.1,2.4,7.6,5.9,No,Medium,No
STU00094,24,Male,4,Arts,Hostel,79.1,4.6,6.88,2.0,4.8,3.7,3,5.2,Yes,Lower-Middle,,5.5,5.7,1.3,3.1,1.2,No,Low,No
STU00095,21,Female,3,Medicine,Day Scholar,77.2,4.8,7.02,1.0,7.4,3.9,0,3.3,Yes,High,8.2,7.5,8.0,,2.9,4.9,No,Medium,Yes
STU00096,19,Female,1,Arts,Day Scholar,71.0,1.7,7.9,0.0,4.4,3.9,3,2.2,No,Lower-Middle,3.7,1.6,3.4,7.2,7.4,2.3,No,Medium,Yes
STU00097,24,Male,3,Arts,Hostel,62.5,3.4,8.65,1.0,6.9,5.6,0,3.8,No,Lower-Middle,4.7,,4.3,5.7,,4.8,No,High,No
STU00098,22,Male,1,Engineering,Hostel,78.2,3.4,6.58,3.0,6.1,4.9,1,5.3,No,Middle,6.6,9.1,6.6,7.1,5.0,3.3,No,Medium,No
STU00099,19,Male,3,Engineering,Day Scholar,71.1,,5.45,1.0,7.7,7.7,0,6.9,No,Lower-Middle,,7.1,5.6,,6.4,8.2,No,Medium,Yes
STU00100,17,Male,3,Law,Day Scholar,62.5,,7.59,0.0,7.2,9.1,0,,No,Middle,8.5,2.1,,5.2,4.9,9.8,No,High,Yes
STU00101,19,Female,1,Engineering,Day Scholar,78.7,2.2,6.41,1.0,5.5,4.0,0,6.9,,Lower-Middle,7.4,7.6,3.6,5.0,3.3,4.0,Yes,Medium,No
STU00102,21,Male,2,Law,Hostel,100.0,3.5,8.57,2.0,5.9,3.4,1,6.3,Yes,Low,3.0,7.0,7.1,1.0,4.3,4.7,No,Low,Yes
STU00103,19,Male,1,Arts,Day Scholar,72.5,5.1,5.96,0.0,3.2,4.4,2,2.9,No,Middle,3.7,5.7,8.3,8.9,3.5,0.0,No,High,Yes
STU00104,17,Male,1,Engineering,Day Scholar,100.0,1.3,5.6,1.0,6.0,,1,6.3,Yes,Middle,6.4,,8.1,7.6,7.9,1.2,No,High,No
STU00105,21,Female,2,Engineering,Day Scholar,100.0,1.6,7.0,0.0,4.3,5.2,3,6.3,No,Low,4.9,3.4,5.1,7.0,8.0,5.3,No,Medium,No
STU00106,23,Male,2,Engineering,PG/Rented,63.7,2.4,4.36,2.0,5.9,4.4,2,8.5,Yes,High,0.5,6.6,0.3,,3.7,4.4,No,High,Yes
STU00107,23,Female,4,Medicine,Day Scholar,78.1,2.7,6.15,0.0,5.2,2.6,4,5.8,No,Middle,2.8,,6.0,4.0,6.4,5.3,Yes,Low,No
STU00108,25,,2,Business,PG/Rented,100.0,0.4,6.34,1.0,4.9,0.6,0,2.5,No,Lower-Middle,5.5,5.0,5.7,6.8,4.9,,No,High,Yes
STU00109,19,Female,2,Business,Hostel,76.2,5.6,7.11,1.0,8.0,3.3,3,3.9,No,,7.0,5.5,3.5,4.0,8.6,5.1,Yes,Low,Yes
STU00110,23,Female,3,Business,Day Scholar,78.6,3.0,5.41,1.0,4.3,8.3,4,1.3,No,Upper-Middle,7.1,5.3,3.9,5.3,10.0,0.0,No,Low,No
STU00111,17,Male,1,Engineering,Hostel,52.9,2.8,5.57,0.0,4.8,6.5,1,6.0,No,Middle,9.5,5.5,3.5,1.2,7.0,3.3,No,Medium,No
STU00112,20,Male,4,Business,Day Scholar,70.0,5.8,8.42,1.0,5.2,5.1,4,8.3,No,Lower-Middle,3.4,4.7,6.0,4.7,4.4,5.4,Yes,Low,No
STU00113,20,Female,3,Engineering,Day Scholar,86.3,4.3,6.78,0.0,5.5,7.1,2,0.2,No,Low,3.5,4.8,3.9,1.6,3.1,7.9,No,Medium,No
STU00114,21,Female,3,Medicine,PG/Rented,100.0,2.3,8.01,1.0,4.9,2.7,0,8.4,No,Middle,4.9,,5.8,2.2,6.0,4.3,No,Low,No
STU00115,23,Male,1,Business,Hostel,75.1,3.5,6.04,2.0,5.7,5.6,1,6.0,Yes,Lower-Middle,1.1,2.7,10.0,4.9,5.2,5.7,No,High,Yes
STU00116,23,Female,2,Business,Day Scholar,53.1,3.1,6.72,1.0,6.7,1.6,1,2.8,No,Middle,5.0,6.9,5.1,3.4,2.5,3.2,Yes,Low,No
STU00117,20,Female,2,Business,Day Scholar,56.9,5.5,7.1,0.0,7.2,6.3,2,5.5,No,High,4.6,7.6,3.2,5.7,5.7,5.4,No,Low,No
STU00118,23,Female,4,Business,Hostel,77.5,2.9,9.25,2.0,7.1,6.1,2,2.9,No,,6.8,3.5,2.6,8.7,9.9,3.5,No,Medium,No
STU00119,19,Male,1,Law,Hostel,95.7,0.9,6.5,0.0,3.3,6.1,3,5.9,No,Upper-Middle,,6.3,6.2,3.6,,8.4,No,Medium,Yes
STU00120,22,Female,2,Arts,Hostel,87.6,0.2,6.57,0.0,6.8,,2,5.1,Yes,High,5.8,4.5,9.5,4.4,3.1,3.8,No,High,Yes
STU00121,18,Male,4,Engineering,Hostel,84.9,5.6,,1.0,6.9,7.2,3,5.7,No,High,5.0,9.0,3.7,6.5,5.5,4.2,No,Low,No
STU00122,25,Female,2,Arts,Hostel,97.6,1.9,6.27,0.0,5.2,2.8,1,3.2,No,High,5.8,6.0,1.2,3.5,6.3,6.0,No,Low,No
STU00123,21,Male,2,Engineering,Hostel,67.2,4.3,7.2,1.0,8.7,8.1,1,3.5,Yes,Upper-Middle,3.2,9.7,8.9,,6.5,5.5,No,Low,No
STU00124,22,Male,1,Engineering,Hostel,78.3,3.3,8.22,1.0,7.8,5.0,3,6.0,No,Middle,,9.4,10.0,4.0,2.1,3.8,No,Low,No
STU00125,20,Male,4,Law,Day Scholar,70.2,2.5,5.99,0.0,5.9,1.2,1,4.0,No,Middle,5.0,7.2,,6.9,5.3,5.3,No,Medium,Yes
STU00126,23,Female,1,Science,Day Scholar,73.9,2.8,7.28,0.0,,5.3,3,,Yes,Middle,4.8,10.0,6.4,1.1,6.0,2.4,No,Low,No
STU00127,25,Male,3,Law,PG/Rented,62.9,5.7,9.24,1.0,,6.9,1,5.9,Yes,Upper-Middle,4.6,3.0,5.6,3.1,5.1,5.0,No,Medium,Yes
STU00128,23,Male,3,Business,Day Scholar,72.8,0.9,8.09,3.0,6.2,3.3,2,4.6,No,Lower-Middle,3.6,9.7,6.9,8.4,1.4,5.6,No,High,Yes
STU00129,17,Male,1,,PG/Rented,,2.6,7.2,0.0,6.3,8.4,1,7.3,Yes,Lower-Middle,2.6,5.9,6.8,0.0,5.2,3.7,Yes,Medium,No
STU00130,17,Female,3,Engineering,PG/Rented,72.4,4.7,6.49,0.0,6.3,3.5,2,4.6,,,4.5,6.2,6.1,4.7,,3.8,No,Low,No
